feature,importance
月所得_是否缺失,0.21135512
近半年同業查詢次數_log_scaled,0.11513382
教育程度_序位,0.08493215
車齡_是否缺失,0.056035012
年齡_婚姻交互_scaled,0.055556737
所留市內電話數_log_scaled,0.044461302
動產設定,0.044113226
婚姻狀況_二元,0.04300452
申辦期數_scaled,0.041152973
車齡_金額交互_scaled,0.034071833
月所得_序位,0.032056816
車齡_log_scaled,0.028418157
原申辦金額_log_scaled,0.027961403
近半年同業查詢次數_是否缺失,0.024729297
年齡_scaled,0.021710511
職業說明_頻率_scaled,0.021093603
年齡組_序位,0.018983854
廠牌車型_頻率_scaled,0.017743658
居住地_頻率_scaled,0.016519392
內部往來次數_log_scaled,0.0151910735
教育_所得交互_scaled,0.013414159
性別_二元,0.012889296
教育程度_是否缺失,0.012520385
負債月所得比_scaled,0.006951672
車齡_異常旗標,0.0
內部往來次數_是否特殊值,0.0
