feature,importance
月所得_是否缺失,0.2203295
近半年同業查詢次數_log_scaled,0.12380258
年齡_婚姻交互_scaled,0.059586048
車齡_是否缺失,0.05663749
所留市內電話數_log_scaled,0.04760768
動產設定,0.047034897
申辦期數_scaled,0.04384861
婚姻狀況_二元,0.04250983
車齡_log_scaled,0.039514385
年齡組_序位,0.036681466
車齡_金額交互_scaled,0.03328844
月所得_序位,0.033203848
原申辦金額_log_scaled,0.029279869
年齡_scaled,0.027399972
職業說明_頻率_scaled,0.026160145
近半年同業查詢次數_是否缺失,0.024439348
居住地_頻率_scaled,0.018913722
內部往來次數_log_scaled,0.017777126
廠牌車型_頻率_scaled,0.017732423
教育程度_序位,0.0135340495
性別_二元,0.013116656
教育_所得交互_scaled,0.010924212
教育程度_是否缺失,0.009063345
負債月所得比_scaled,0.0076143546
車齡_異常旗標,0.0
內部往來次數_是否特殊值,0.0
